-35, -0, 0, 1764169734.8109944
62, -135, 527, 1764169734.839817
228, -366, 1430, 1764169734.8736029
0, -49, 191, 1764169734.905801
-35, -0, 0, 1764169734.9390807
-35, -0, 0, 1764169734.973954
-35, -0, 0, 1764169735.0064101
118, -86, 527, 1764169735.039503
-35, -0, 0, 1764169735.0744562
-35, -0, 0, 1764169735.1062653
-35, -0, 0, 1764169735.139288
-35, -0, 0, 1764169735.1729116
-35, -0, 0, 1764169735.20604
99, -139, 518, 1764169735.2396502
84, -177, 503, 1764169735.2745712
-35, -0, 0, 1764169735.306943
-35, -0, 0, 1764169735.341965
-35, -0, 0, 1764169735.3760972
103, -177, 707, 1764169735.4090745
-35, -0, 0, 1764169735.4413586
-35, -0, 0, 1764169735.4753551
-35, -0, 0, 1764169735.5075185
-35, -0, 0, 1764169735.5412705
-35, -0, 0, 1764169735.57683
-35, -0, 0, 1764169735.609595
-35, -0, 0, 1764169735.6403892
-35, -0, 0, 1764169735.6735196
-35, -0, 0, 1764169735.70753
-35, -0, 0, 1764169735.741213
-35, -0, 0, 1764169735.7754235
-35, -0, 0, 1764169735.8077283
-35, -0, 0, 1764169735.8419926
-35, -0, 0, 1764169735.8759522
-35, -0, 0, 1764169735.9086602
-35, -0, 0, 1764169735.941875
-35, -0, 0, 1764169735.9758496
-35, -0, 0, 1764169736.0094628
-35, -0, 0, 1764169736.0415394
-35, -0, 0, 1764169736.0756233
-35, -0, 0, 1764169736.1086822
-35, -0, 0, 1764169736.140762
-35, -0, 0, 1764169736.1753938
-35, -0, 0, 1764169736.207837
-35, -0, 0, 1764169736.241775
158, -1, 701, 1764169736.2749891
162, -2, 695, 1764169736.3086622
158, -2, 688, 1764169736.3418982
154, 0, 688, 1764169736.374468
154, 1, 694, 1764169736.406946
157, -2, 692, 1764169736.4400766
166, -14, 691, 1764169736.4735558
166, -13, 691, 1764169736.507368
160, -6, 692, 1764169736.5407953
163, -11, 691, 1764169736.5739148
163, -8, 693, 1764169736.608793
168, -12, 693, 1764169736.6417074
166, -14, 688, 1764169736.674168
167, -17, 688, 1764169736.7071915
169, -19, 690, 1764169736.7407055
169, -21, 688, 1764169736.7747965
171, -23, 688, 1764169736.8080304
173, -26, 688, 1764169736.8423553
172, -25, 688, 1764169736.87509
176, -26, 688, 1764169736.9079866
173, -26, 687, 1764169736.9411318
174, -27, 685, 1764169736.974681
175, -23, 689, 1764169737.0079613
179, -23, 691, 1764169737.040841
176, -23, 685, 1764169737.0749676
180, -24, 685, 1764169737.1081173
178, -19, 689, 1764169737.141397
178, -20, 688, 1764169737.1758692
180, -18, 688, 1764169737.2079642
183, -21, 688, 1764169737.2416594
182, -22, 686, 1764169737.2754803
181, -15, 688, 1764169737.3088903
180, -17, 687, 1764169737.3416605
181, -18, 685, 1764169737.3752034
182, -19, 686, 1764169737.4092295
182, -19, 685, 1764169737.4428692
183, -21, 685, 1764169737.474749
182, -16, 687, 1764169737.5087612
180, -18, 684, 1764169737.5413985
182, -24, 682, 1764169737.5746052
182, -18, 684, 1764169737.607717
183, -17, 685, 1764169737.6416743
182, -35, 676, 1764169737.6766143
176, -33, 688, 1764169737.7098153
-35, -0, 0, 1764169737.7420719
-35, -0, 0, 1764169737.7758331
-35, -0, 0, 1764169737.8089242
-35, -0, 0, 1764169737.8418148
-35, -0, 0, 1764169737.8747246
-35, -0, 0, 1764169737.9092789
-35, -0, 0, 1764169737.941914
-35, -0, 0, 1764169737.975129
-35, -0, 0, 1764169738.0077527
-35, -0, 0, 1764169738.0419846
-35, -0, 0, 1764169738.0748582
-35, -0, 0, 1764169738.1079917
-35, -0, 0, 1764169738.1419623
-35, -0, 0, 1764169738.1751304
-35, -0, 0, 1764169738.2084305
-35, -0, 0, 1764169738.2412531
-35, -0, 0, 1764169738.2751615
-35, -0, 0, 1764169738.3086073
68, -26, 223, 1764169738.3414526
-35, -0, 0, 1764169738.374796
-35, -0, 0, 1764169738.408663
-35, -0, 0, 1764169738.4417462
-35, -0, 0, 1764169738.4751005
-35, -0, 0, 1764169738.5086315
-35, -0, 0, 1764169738.5416472
-35, -0, 0, 1764169738.575475
-35, -0, 0, 1764169738.60884
-35, -0, 0, 1764169738.6426885
-35, -0, 0, 1764169738.676997
-35, -0, 0, 1764169738.7093656
-35, -0, 0, 1764169738.742179
-35, -0, 0, 1764169738.776109
-35, -0, 0, 1764169738.8092744
-35, -0, 0, 1764169738.841905
-35, -0, 0, 1764169738.8754156
-164, -102, 572, 1764169738.9090824
-499, -456, 2139, 1764169738.9424279
-164, -124, 558, 1764169738.9762247
-414, -409, 1760, 1764169739.009738
-149, -126, 563, 1764169739.0446854
-153, -122, 564, 1764169739.0764034
-35, -0, 0, 1764169739.1093462
-271, -340, 1369, 1764169739.1435356
-35, -0, 0, 1764169739.1766133
-35, -0, 0, 1764169739.209755
-126, -182, 533, 1764169739.2429824
-135, -163, 525, 1764169739.2773397
-140, -178, 539, 1764169739.3100796
-137, -160, 523, 1764169739.3428614
-35, -0, 0, 1764169739.3765259
-35, -0, 0, 1764169739.4101155
-35, -0, 0, 1764169739.442887
-110, -68, 256, 1764169739.4763494
-115, -69, 254, 1764169739.510453
-35, -0, 0, 1764169739.5432036
-35, -0, 0, 1764169739.5782547
-35, -0, 0, 1764169739.6105475
-35, -0, 0, 1764169739.6431305
-35, -0, 0, 1764169739.6774552
-35, -0, 0, 1764169739.7113504
-35, -0, 0, 1764169739.7436519
-35, -0, 0, 1764169739.7774196
-35, -0, 0, 1764169739.810365
-35, -0, 0, 1764169739.8434908
-35, -0, 0, 1764169739.8772106
-35, -0, 0, 1764169739.9112628
-35, -0, 0, 1764169739.944829
-35, -0, 0, 1764169739.978469
-35, -0, 0, 1764169740.0102954
-35, -0, 0, 1764169740.0444827
-35, -0, 0, 1764169740.0780342
-35, -0, 0, 1764169740.11094
-35, -0, 0, 1764169740.1448674
-35, -0, 0, 1764169740.1773658
-35, -0, 0, 1764169740.2113428
-35, -0, 0, 1764169740.2458432
-35, -0, 0, 1764169740.2767928
-35, -0, 0, 1764169740.310237
-35, -0, 0, 1764169740.3434236
-35, -0, 0, 1764169740.3782809
-35, -0, 0, 1764169740.4117796
-35, -0, 0, 1764169740.4452906
-128, -69, 258, 1764169740.47707
-35, -0, 0, 1764169740.5105176
-35, -0, 0, 1764169740.543989
-35, -0, 0, 1764169740.579539
-35, -0, 0, 1764169740.610673
-35, -0, 0, 1764169740.6447163
-35, -0, 0, 1764169740.6778789
-35, -0, 0, 1764169740.7109466
-35, -0, 0, 1764169740.7444215
